Group 1,Group 2,H,p-value,q-value
MB1 (n=1),MB2 (n=3),1.8000000000000007,0.17971249487899588,0.4964261579798397
MB1 (n=1),MB3 (n=2),1.5,0.22067136191984324,0.4964261579798397
MB1 (n=1),MB4 (n=3),0.1999999999999993,0.6547208460185774,0.7274676066873081
MB1 (n=1),MB5 (n=3),1.8000000000000007,0.17971249487899588,0.4964261579798397
MB2 (n=3),MB3 (n=2),0.3333333333333357,0.5637028616507718,0.7046285770634647
MB2 (n=3),MB4 (n=3),0.42857142857142705,0.5126907602619241,0.7046285770634647
MB2 (n=3),MB5 (n=3),0.42857142857142705,0.5126907602619241,0.7046285770634647
MB3 (n=2),MB4 (n=3),1.3333333333333357,0.24821307898991984,0.4964261579798397
MB3 (n=2),MB5 (n=3),0.0,1.0,1.0
MB4 (n=3),MB5 (n=3),3.857142857142854,0.049534613435626915,0.4953461343562691
