asvidshort,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH2,DH3,DH6,DH8,DH9
ASV-0e09f,0,0,0,0,0,3,0,0,0,0,0,0
ASV-20509,0,0,0,0,0,2,0,0,0,0,0,0
ASV-3babb,0,0,0,0,0,0,0,0,0,0,0,1
ASV-39b99,1,0,0,0,0,0,0,0,0,6,2,1
ASV-c4413,0,0,0,0,0,0,0,0,0,0,0,2
ASV-b000c,3,0,0,0,0,0,0,0,2,0,0,13
ASV-c8373,0,0,0,0,0,0,1,0,0,0,0,0
ASV-0eec7,0,0,0,0,0,0,0,0,0,0,0,2
ASV-747e1,0,0,0,1,0,0,0,0,0,0,0,0
ASV-89c3a,0,0,0,0,0,0,0,0,0,0,0,5
ASV-274a7,0,0,0,0,0,0,0,0,1,0,0,0
ASV-77d56,0,0,0,0,0,0,6,0,0,0,0,17
ASV-69ab5,0,0,9,12,34,55,0,0,0,0,0,0
ASV-4db69,0,0,0,0,0,0,0,0,0,0,1,0
ASV-0a26d,0,0,0,4,8,7,0,0,0,0,0,0
ASV-07fcf,0,0,0,0,0,0,0,0,0,0,8,0
ASV-a3e91,0,0,0,0,0,0,2,0,0,0,0,0
ASV-7fc4a,0,0,0,0,0,0,0,0,0,1,0,0
ASV-c1ef3,0,0,1,2,6,2,1,0,1,0,0,2
ASV-141b1,0,0,0,1,0,0,0,0,0,0,0,0
ASV-32b63,0,0,0,0,0,0,0,0,0,0,0,1
ASV-e9667,0,0,0,0,0,0,1,0,0,0,0,0
ASV-4b0c2,0,0,0,0,0,0,0,0,0,0,2,2
ASV-db43c,0,0,0,0,8,0,4,0,0,0,0,0
ASV-0d263,0,0,0,0,0,0,0,0,8,0,0,0
ASV-3ea26,0,0,15,79,5,50,107,3,1,0,0,16
ASV-2edb0,0,0,0,0,1,0,0,0,0,0,0,0
ASV-1712b,0,6,0,0,0,0,0,0,0,0,0,0
ASV-dac7d,5,20,0,0,0,0,0,0,0,3,0,0
ASV-2642d,0,0,0,0,0,0,0,0,0,0,0,1
ASV-65e62,0,0,0,0,0,0,0,0,0,0,0,9
ASV-d1f8f,0,0,0,11,0,0,0,0,0,0,0,0
ASV-7ff2e,0,0,0,0,0,2,0,0,0,0,0,0
ASV-09030,0,0,0,0,0,5,0,0,0,0,0,0
ASV-fec77,48,43,0,0,0,0,0,0,0,0,0,0
ASV-0ffcd,0,0,0,0,0,1,0,0,0,0,0,0
ASV-f7cb2,0,0,0,0,0,0,0,0,1,0,0,0
ASV-1555a,0,0,0,0,0,0,0,0,9,0,0,0
ASV-c9347,0,0,1,8,18,4,6,0,0,0,0,2
ASV-53ccd,0,2,0,0,0,0,0,0,0,0,0,0
ASV-b3147,0,0,0,0,0,0,0,0,0,0,0,2
ASV-e88c6,0,0,0,0,0,0,0,0,0,0,0,1
ASV-77594,1,0,0,0,0,0,0,0,0,0,0,0
ASV-2a9a5,0,0,1,0,0,0,0,0,0,0,0,0
ASV-70a8a,0,0,0,0,0,0,0,0,0,0,0,1
ASV-5db34,0,0,0,0,0,0,0,0,4,0,0,0
ASV-fd862,0,0,0,0,0,0,0,0,1,0,0,0
ASV-2724b,0,0,0,1,0,0,0,0,0,0,0,0
ASV-7eadc,0,0,0,0,0,0,0,12,0,0,0,0
ASV-3307a,0,10,0,0,0,0,0,0,0,0,0,0
ASV-bccbe,0,0,0,0,0,0,0,0,12,0,0,0
ASV-333f8,0,0,0,4,0,0,0,0,0,0,0,0
ASV-89887,0,0,0,5,15,0,0,0,0,0,0,0
ASV-69dba,0,0,0,0,0,0,0,0,5,0,0,0
ASV-fd410,0,0,0,0,0,0,0,0,4,0,0,0
ASV-2e177,1,0,0,0,0,0,0,0,0,0,0,3
ASV-fe493,0,0,0,0,0,0,0,0,0,1,0,0
ASV-9772b,0,0,0,0,0,0,0,0,0,0,0,2
