asvid,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH2,DH3,DH6,DH8,DH9,taxonomy
0e09f2ae25f3479b7c330c1fa2f4e314,0,0,0,0,0,3,0,0,0,0,0,0,d__Eukaryota; k__Incertae_Sedis; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Telonema; s__uncultured_eukaryote
205093af0f3a98440c844b93d594b0f7,0,0,0,0,0,2,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Duboscquella; s__uncultured_eukaryote
3babbd9ad40309f90525d788a80853fc,0,0,0,0,0,0,0,0,0,0,0,1,d__Eukaryota; k__Incertae_Sedis; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Incertae_Sedis; s__Planomonas_micra
39b9936643fdf57cf86e805347097bf3,1,0,0,0,0,0,0,0,0,6,2,1,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Acineta; s__Acineta_sp.
c441396df5844fbacad47a011d93077f,0,0,0,0,0,0,0,0,0,0,0,2,d__Eukaryota; k__Stramenopiles; p__Labyrinthulomycetes; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Labyrinthulaceae; g__Labyrinthula; s__uncultured_eukaryote
b000cc9ed00c7504702f481a025b7020,3,0,0,0,0,0,0,0,2,0,0,13,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Zoothamnium
c8373ce62bf5d3c7ad55d35c9cb7ef8d,0,0,0,0,0,0,1,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Protaspis
0eec7239478478d9c958ab9d155922c3,0,0,0,0,0,0,0,0,0,0,0,2,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Zoothamnium
747e10bba0dad51c1e8ea39e65aa9ba6,0,0,0,1,0,0,0,0,0,0,0,0,d__Eukaryota; k__Stramenopiles; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Cyclotella; s__Cyclotella_choctawhatcheeana
89c3ae31a971a30455ef165d273f3936,0,0,0,0,0,0,0,0,0,0,0,5,d__Eukaryota; k__Stramenopiles; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__Chaetoceros_sp.
274a769ae851e923918caadbb0513757,0,0,0,0,0,0,0,0,1,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Zoothamnium; s__Zoothamnium_sp.
77d56aee01cc47a586ab6041bf1f80ef,0,0,0,0,0,0,6,0,0,0,0,17,d__Eukaryota; k__Stramenopiles; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Skeletonema; s__Skeletonema_menzellii
69ab5657c1cac75e9efaa1119ae23f77,0,0,9,12,34,55,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae
4db69fcbb017031547f72e5a6882fa60,0,0,0,0,0,0,0,0,0,0,1,0,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote
0a26dd935836b7b3efc1044ab5f6b932,0,0,0,4,8,7,0,0,0,0,0,0,d__Eukaryota; k__Stramenopiles; p__Peronosporomycetes; c__Peronosporomycetes; o__Peronosporomycetes; f__Peronosporomycetes; g__Peronosporomycetes; s__Haliphthoros_sp.
07fcf21a1b098c645ce79927cc9c0c88,0,0,0,0,0,0,0,0,0,0,8,0,d__Eukaryota; k__Holozoa; p__Holozoa; c__Choanoflagellida; o__Craspedida; f__Salpingoecidae; g__Salpingoecidae; s__Salpingoeca_kvevrii
a3e91e53f430b464bf8bc9890acaa335,0,0,0,0,0,0,2,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae; o__Dinophysiales; f__Dinophysiales; g__Sinophysis; s__uncultured_eukaryote
7fc4a2f635eeda65ca9910f3b21bf7f5,0,0,0,0,0,0,0,0,0,1,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Suctoria; s__Pyropia_sp.
c1ef3f39bd0d43bbc2c7f79ecfd6e90c,0,0,1,2,6,2,1,0,1,0,0,2,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote
141b11aec300bbf59535f3f8023c8a46,0,0,0,1,0,0,0,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured
32b636fc65b4beac2803ae8aa818d996,0,0,0,0,0,0,0,0,0,0,0,1,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Euplotia; g__Diophrys; s__Diophrys_parappendiculata
e9667848dabad546711472f65023e9d0,0,0,0,0,0,0,1,0,0,0,0,0,d__Eukaryota; k__Haptophyta; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__Phaeocystis_globosa
4b0c27fe1b55a6194658010a3a991997,0,0,0,0,0,0,0,0,0,0,2,2,d__Eukaryota; k__Stramenopiles; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae; g__Amphora
db43ce7c610f0d9a1db2078ed8028d35,0,0,0,0,8,0,4,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Duboscquella
0d2632eb54f3c5b34c03cee5ac2d842b,0,0,0,0,0,0,0,0,8,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Zoothamnopsis; s__Zoothamnium_sp.
3ea26f6ed9942ba9cea4d971a4896c9b,0,0,15,79,5,50,107,3,1,0,0,16,d__Eukaryota; k__Stramenopiles; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__Chaetoceros_sp.
2edb025a9107d8bf99149f219f25fa7e,0,0,0,0,1,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote
1712b2abd873215c51c97521b2a7aa03,0,6,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Chloroplastida; p__Chlorophyta; c__Chlorophyceae; o__Sphaeropleales; f__Sphaeropleales
dac7d2da2da052f8c7826d272f953b1e,5,20,0,0,0,0,0,0,0,3,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Suctoria
2642ddec54018194645d005658accaab,0,0,0,0,0,0,0,0,0,0,0,1,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Euplotia; g__Aspidisca; s__uncultured_marine
65e62fc1e614acf41e1705ae3a82016a,0,0,0,0,0,0,0,0,0,0,0,9,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__IN2411; g__IN2411; s__uncultured_ciliate
d1f8fe6e346dc1374ff99fcf2b987d14,0,0,0,11,0,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae
7ff2e2e005bd7aabc0d6e7f65bef4c1b,0,0,0,0,0,2,0,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Vampyrellidae; o__Vampyrellidae; f__Vampyrellidae; g__uncultured; s__Hyalodiscus_sp.
0903022f7ac9b709efdc3f4592c1378a,0,0,0,0,0,5,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodiniphycidae; g__Gyrodinium
fec77e6c2265d86ea13d17078fe8b54d,48,43,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__uncultured_Rhizaria
0ffcd375e9a3c0a7be9d36ef66830f4c,0,0,0,0,0,1,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae
f7cb2806b8c6faaf4aaa7fec1dae0d98,0,0,0,0,0,0,0,0,1,0,0,0,d__Eukaryota; k__Stramenopiles; p__Diatomea
1555a1d4ae5f456b4bb8d1511df2b43a,0,0,0,0,0,0,0,0,9,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Vaginicola; s__Vaginicola_crystallina
c9347ba633570ad48614f80f741522e2,0,0,1,8,18,4,6,0,0,0,0,2,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Duboscquella; s__uncultured_eukaryote
53ccd55dd796f4db02a092fedbb03db1,0,2,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Prostomatea; g__Cryptocaryon
