Phylum,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH2,DH3,DH6,DH8,DH9,Total
Ciliophora,296,275,0,0,0,2,0,743,635,791,403,206,3351
Dinoflagellata,54,19,767,563,591,567,232,22,7,0,0,4,2826
Diatomea,1,3,17,105,50,64,413,26,151,1,121,269,1221
Chlorophyta,339,347,0,0,22,4,26,4,4,9,27,52,834
Protalveolata,14,12,7,83,86,94,80,3,1,0,1,9,390
Cercozoa,54,52,6,42,28,41,40,0,2,0,2,4,271
Holozoa,2,0,0,0,2,6,3,0,0,0,150,103,266
Labyrinthulomycetes,6,7,0,0,3,0,1,3,0,0,77,138,235
Others,34,86,2,4,10,13,6,0,1,0,4,5,165
Unclassified,1,0,2,4,9,10,0,0,0,0,16,11,53
